Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
384,D'Angelo Russell\russeda01,SG,23,GSW,11,11,30.9,8.4,18.3,0.458,2.8,7.9,0.356,5.5,10.4,0.535,0.535,4.2,5.5,0.767,0.2,3.3,3.5,6.3,0.7,0.5,3.3,1.7,23.7
385,Domantas Sabonis\sabondo01,C,23,IND,19,19,34.2,7.3,14.1,0.515,0.3,1.2,0.217,7,12.9,0.543,0.524,3.6,4.5,0.8,3.7,9.3,13,3.7,0.7,0.5,2.8,3.7,18.4
386,JaKarr Sampson\sampsja02,SF,26,IND,9,7,18.4,2.6,4.6,0.561,0.2,1.1,0.2,2.3,3.4,0.677,0.585,0.2,0.8,0.286,0.8,1.9,2.7,0.4,0.6,0.7,0.7,2.6,5.6
387,Dario Šarić\saricda01,PF,25,PHO,20,20,27.9,3.9,9.2,0.418,1.7,4.7,0.355,2.2,4.6,0.484,0.508,1.5,1.8,0.857,1.8,5.4,7.2,2,0.9,0.5,1.4,2.6,10.9
388,Tomáš Satoranský\satorto01,PG,28,CHI,22,22,26.9,3.5,7.7,0.447,1.2,3,0.403,2.2,4.7,0.476,0.526,1.6,1.8,0.875,0.9,2.5,3.4,5.4,1.5,0.1,2.1,2.1,9.7
389,Admiral Schofield\schofad01,SF,22,WAS,7,0,8.4,1,1.4,0.7,0.6,1,0.571,0.4,0.4,1,0.9,0.6,0.6,1,0.3,1,1.3,0.1,0,0,0.1,0.4,3.1
390,Dennis Schröder\schrode01,PG,26,OKC,20,0,28.5,6.1,13.8,0.444,1.4,4.7,0.301,4.7,9.1,0.516,0.495,2,2.6,0.769,0.4,3.6,4,3.8,0.8,0.3,2.8,2.2,15.6
391,Mike Scott\scottmi01,PF,31,PHI,21,0,19,2,5,0.406,1,3.2,0.328,1,1.9,0.538,0.509,0.5,0.5,0.909,0.7,2.6,3.3,0.7,0.2,0.1,0.4,1.6,5.6
392,Thabo Sefolosha\sefolth01,PF,35,HOU,17,0,10.9,0.8,2.5,0.333,0.5,1.5,0.308,0.4,0.9,0.375,0.429,0,0,,0.6,1.8,2.4,0.9,0.5,0.2,0.2,1,2.1
393,Collin Sexton\sextoco01,SG,21,CLE,20,20,30.7,6.9,15.7,0.441,1.2,3.7,0.324,5.7,12,0.477,0.479,3.1,3.8,0.803,1,2.3,3.3,2.5,0.9,0.1,1.9,2.3,18.1
